id,name,type,attribute,race,level,attack_points,defense_points,cost,rarity,description,image
1,Blue-Eyes White Dragon,Normal Monster,LIGHT,Dragon,8,3000,2500,8,Common,"This legendary dragon is a powerful engine of destruction. Virtually invincible, very few have faced this awesome creature and lived to tell the tale.",https://images.ygoprodeck.com/images/cards/89631139.jpg
2,Mystical Elf,Normal Monster,LIGHT,Spellcaster,4,800,2000,4,Common,"A delicate elf that lacks offense, but has a terrific defense backed by mystical power.",https://images.ygoprodeck.com/images/cards/15025844.jpg
3,Hitotsu-Me Giant,Normal Monster,EARTH,Beast-Warrior,4,1200,1000,4,Common,"A one-eyed behemoth with thick, powerful arms made for delivering punishing blows.",https://images.ygoprodeck.com/images/cards/76184692.jpg
4,Baby Dragon,Normal Monster,WIND,Dragon,3,1200,700,3,Common,"Much more than just a child, this dragon is gifted with untapped power.",https://images.ygoprodeck.com/images/cards/88819587.jpg
5,Ryu-Kishin,Normal Monster,DARK,Fiend,3,1000,500,3,Common,A very elusive creature that looks like a harmless statue until it attacks.,https://images.ygoprodeck.com/images/cards/15303296.jpg
6,Feral Imp,Normal Monster,DARK,Fiend,4,1300,1400,4,Common,"A playful little fiend that lurks in the dark, waiting to attack an unwary enemy.",https://images.ygoprodeck.com/images/cards/41392891.jpg
7,Winged Dragon Guardian of the Fortress #1,Normal Monster,WIND,Dragon,4,1400,1200,4,Common,A dragon commonly found guarding mountain fortresses. Its signature attack is a sweeping dive from out of the blue.,https://images.ygoprodeck.com/images/cards/87796900.jpg
8,Mushroom Man,Normal Monster,EARTH,Plant,2,800,600,2,Common,"Found in humid regions, this creature attacks enemies with a lethal rain of poison spores.",https://images.ygoprodeck.com/images/cards/14181608.jpg
9,Shadow Specter,Normal Monster,DARK,Zombie,1,500,200,1,Common,"Powerful in groups, this animal spirit can be found in the wastelands.",https://images.ygoprodeck.com/images/cards/40575313.jpg
10,Blackland Fire Dragon,Normal Monster,DARK,Dragon,4,1500,800,4,Common,"A dragon that dwells in the depths of darkness, its vulnerability lies in its poor eyesight.",https://images.ygoprodeck.com/images/cards/87564352.jpg
11,Sword Arm of Dragon,Normal Monster,EARTH,Dinosaur,6,1750,2030,6,Common,"This Jurassic juggernaut has a spine covered in sword-like plates, and a tail to split open skulls.",https://images.ygoprodeck.com/images/cards/13069066.jpg
